name,party,state,incumbent_challenge_full,raised,spent
"COX, JOHN R.",REP,AK,Challenger,$0 ,$0 
"DUNBAR, FORREST",DEM,AK,Challenger,$550.00 ,"$7,563.97 "
"LEDOUX, GABRIELLE R",REP,AK,Challenger,$0 ,$0 
"CHESNUT, DEBRA SUE",DEM,AK,Challenger,$0 ,$0 
"VONDERSAAR, FRANK J",DEM,AK,Challenger,$0 ,$0 
"CISSNA, SHARON MARIE",DEM,AK,Challenger,$0 ,$0 
"YOUNG, DONALD E",REP,AK,Incumbent,"$1,103,561.86 ","$1,322,055.12 "
"COOKE, STANLEY KYLE",REP,AL,Challenger,$0 ,$0 
"BACHUS, SPENCER REP.",REP,AL,Challenger,"$2,444.41 ","$8,723.17 "
"FINCHER, CHAD",REP,AL,Challenger,$0 ,$0 
"WRIGHT, ERICK",IND,AL,Challenger,$0 ,$0 
"SMITH, JESSE TREMAIN",DEM,AL,Challenger,"$9,810.00 ","$7,348.00 "
"BRAY, MARK",IND,AL,Challenger,$2.31 ,"$2,408.89 "
"YOUNG JR, LARRY DEAN",REP,AL,Challenger,"$178,766.88 ","$178,474.16 "
"GERRITSON, REBECCA (BECKY)",REP,AL,Challenger,"$206,908.19 ","$206,908.19 "
"ROGERS, ROBERT L",REP,AL,Challenger,"$25,382.00 ","$32,492.00 "
"MATHIS, NATHAN",DEM,AL,Challenger,"$36,844.00 ","$36,844.00 "
"DICHIARA, LARRY",REP,AL,Challenger,"$64,791.68 ","$67,148.66 "
"NORRIS, PHILLIP",REP,AL,Challenger,"$3,605.76 ","$3,605.76 "
"FLIPPO, RONNIE GENE",DEM,AL,Challenger,$0.00 ,$0 
"BOYD, WILLIE ""WILL"" DR. JR.",DEM,AL,Challenger,"$61,311.93 ","$61,251.11 "
"PUTMAN, DAVID",DEM,AL,Challenger,"$197,378.52 ","$197,378.52 "
"TURNHAM, JOSEPH R",DEM,AL,Challenger,$0 ,$0 
"MICKLE, AL",REP,AL,Challenger,$0 ,$0 
"LEFLORE, BURTON R",DEM,AL,Challenger,$0 ,$0 
"ANDERSON, JASON EDWARD",REP,AL,Challenger,$0 ,$0 
"HARRIS, JOHN ANDREW",DEM,AL,Challenger,$0 ,$0 
"HOLLEY, CHARLIE LEE",DEM,AL,Challenger,$0 ,$0 
"JENKINS, JAMES MATTHEW",REP,AL,Challenger,$0 ,$0 
"HILL, JERRY WAYNE",REP,AL,Challenger,$0 ,$0 
"BOMAN, DANIEL HEATH",DEM,AL,Challenger,$0 ,$0 
"RAILEY, CURTIS MONROE",IND,AL,Challenger,$0 ,$0 
"CHAMBERLAIN, DON",REP,AL,Challenger,$0 ,$0 
"RIEHM, PETER (PETE) J A",REP,AL,Challenger,$0 ,$0 
"ROBY, MARTHA",REP,AL,Incumbent,"$1,404,260.12 ","$1,850,535.64 "
"BROOKS, MO",REP,AL,Incumbent,"$476,225.18 ","$119,723.76 "
"SEWELL, TERRYCINA ANDREA",DEM,AL,Incumbent,"$1,630,079.97 ","$1,087,017.93 "
"ROGERS, MICHAEL DENNIS",REP,AL,Incumbent,"$1,139,022.37 ","$1,071,289.42 "
"BYRNE, BRADLEY ROBERTS",REP,AL,Incumbent,"$1,367,469.77 ","$1,172,750.28 "
"PALMER, GARY",REP,AL,Incumbent,"$1,232,446.20 ","$769,978.37 "
"ADERHOLT, ROBERT BROWN",REP,AL,Incumbent,"$1,441,035.62 ","$1,394,461.23 "
"HILLIARD, EARL FREDERICK JR",DEM,AL,Open seat,$0 ,$0 
"BEASON, JASON SCOTT",REP,AL,Open seat,$0 ,"$3,045.13 "
"LOVE, JAY K",REP,AL,Open seat,$0 ,$0 
"THORNTON, DAVID G",REP,AL,Open seat,$0 ,$0 
"HENDREN, JAMES PAUL",REP,AR,Challenger,$7.28 ,$0 
"MCPHERSON, JACKIE",DEM,AR,Challenger,"$8,157.69 ","$13,177.62 "
"CURRY, DIANNE",DEM,AR,Challenger,"$37,666.34 ","$28,822.83 "
"OLREE, BROCK",REP,AR,Challenger,"$18,454.97 ","$18,436.40 "
"COTTON, THOMAS",REP,AR,Challenger,$0 ,$0 
"ELLINGTON, SCOTT A",DEM,AR,Challenger,$0 ,$0 
"BERRY, MARION",DEM,AR,Challenger,$0 ,$0 
"GRIFFIN, JOHN TIMOTHY",REP,AR,Challenger,$0 ,$0 
"BREWER, THOMAS HILL",REP,AR,Challenger,$0 ,$0 
"CRAWFORD, ERIC ALAN RICK",REP,AR,Incumbent,"$669,501.96 ","$808,955.49 "
"WOMACK, STEVE",REP,AR,Incumbent,"$931,782.13 ","$568,200.63 "
"HILL, JAMES FRENCH",REP,AR,Incumbent,"$2,240,181.57 ","$1,640,764.53 "
"WESTERMAN, BRUCE MR.",REP,AR,Incumbent,"$716,791.26 ","$464,458.86 "
"CAUSEY, CHAD",DEM,AR,Open seat,$500.00 ,$875.00 
"SMITH, PRINCELLA D",REP,AR,Open seat,$0 ,$0 
"ELLIOTT, JOYCE ANN",DEM,AR,Open seat,$0 ,$0 
"WHITAKER, DAVID JEFFREY",DEM,AR,Open seat,$0 ,$0 
"HURST, Q. BYRUM JR",DEM,AR,Open seat,$0 ,$0 
"REYNOLDS, CONRAD EARL",REP,AR,Open seat,$0 ,$0 
"CLEMMER, ANN V",REP,AR,Open seat,$0 ,$0 
