district,prob_rep_wins,winner
"AK-1",.373125,"DEM"
"AL-1",.999775,"REP"
"AL-2",.999975,"REP"
"AL-3",1,"REP"
"AL-4",1,"REP"
"AL-5",.999925,"REP"
"AL-6",.9998,"REP"
"AL-7",.000025,"DEM"
"AR-1",.999975,"REP"
"AR-2",.99785,"REP"
"AR-3",.99965,"REP"
"AR-4",.999975,"REP"
"AZ-1",.874575,"REP"
"AZ-2",.54015,"REP"
"AZ-3",0,"DEM"
"AZ-4",.087875,"DEM"
"AZ-5",.998375,"REP"
"AZ-6",.8787,"REP"
"AZ-7",.005325,"DEM"
"AZ-8",1,"REP"
"AZ-9",1,"REP"
"CA-1",.9974,"REP"
"CA-10",0,"DEM"
"CA-11",0,"DEM"
"CA-12",0,"DEM"
"CA-13",.2605,"REP"
"CA-14",0,"DEM"
"CA-15",0,"DEM"
"CA-16",0,"DEM"
"CA-17",.000025,"DEM"
"CA-18",0,"DEM"
"CA-19",0,"DEM"
"CA-2",0,"DEM"
"CA-20",.999825,"REP"
"CA-21",.01055,"DEM"
"CA-22",.275325,"REP"
"CA-23",.994025,"REP"
"CA-24",.000575,"DEM"
"CA-25",.088175,"DEM"
"CA-26",.049425,"DEM"
"CA-27",.341275,"REP"
"CA-28",.0001,"DEM"
"CA-29",0,"DEM"
"CA-3",.651775,"REP"
"CA-30",0,"DEM"
"CA-31",.00105,"DEM"
"CA-32",0,"DEM"
"CA-33",.003225,"DEM"
"CA-34",0,"DEM"
"CA-35",.001175,"DEM"
"CA-36",0,"DEM"
"CA-37",0,"DEM"
"CA-38",.00225,"DEM"
"CA-39",.003075,"DEM"
"CA-4",.00005,"DEM"
"CA-40",.9211,"REP"
"CA-41",.735425,"REP"
"CA-42",0,"DEM"
"CA-43",0,"DEM"
"CA-44",0,"DEM"
"CA-45",.516325,"REP"
"CA-46",.00035,"DEM"
"CA-47",.223075,"DEM"
"CA-48",.97625,"REP"
"CA-49",.087125,"DEM"
"CA-5",.996,"REP"
"CA-50",.0003,"DEM"
"CA-51",.0004,"DEM"
"CA-52",.0001,"DEM"
"CA-6",.01045,"DEM"
"CA-7",.000025,"DEM"
"CA-8",0,"DEM"
"CA-9",.265975,"DEM"
"CO-1",0,"DEM"
"CO-2",.000475,"DEM"
"CO-3",.974175,"REP"
"CO-4",.9981,"REP"
"CO-5",.993675,"REP"
"CO-6",.008925,"DEM"
"CO-7",.14855,"DEM"
"CO-8",.5121,"DEM"
"CT-1",.00295,"DEM"
"CT-2",.290925,"DEM"
"CT-3",.023475,"DEM"
"CT-4",.001525,"DEM"
"CT-5",.288325,"DEM"
"DE-1",.031275,"DEM"
"FL-1",.996725,"REP"
"FL-10",.001225,"DEM"
"FL-11",.998775,"REP"
"FL-12",.999925,"REP"
"FL-13",.93605,"REP"
"FL-14",.010525,"DEM"
"FL-15",.84355,"REP"
"FL-16",.994575,"REP"
"FL-17",.999,"REP"
"FL-18",.9999,"REP"
"FL-19",.994725,"REP"
"FL-2",.959925,"REP"
"FL-20",0,"DEM"
"FL-21",.993325,"REP"
"FL-22",.0083,"DEM"
"FL-23",.167375,"DEM"
"FL-24",0,"DEM"
"FL-25",.008275,"DEM"
"FL-26",.998025,"REP"
"FL-27",.879675,"REP"
"FL-28",.97355,"REP"
"FL-3",.9975,"REP"
"FL-4",.966575,"REP"
"FL-5",1,"REP"
"FL-6",.999875,"REP"
"FL-7",.952525,"REP"
"FL-8",.999475,"REP"
"FL-9",.0177,"DEM"
"GA-1",.997275,"REP"
"GA-10",.99995,"REP"
"GA-11",.9994,"REP"
"GA-12",.9983,"REP"
"GA-13",0,"DEM"
"GA-14",1,"REP"
"GA-2",.067325,"DEM"
"GA-3",.999925,"REP"
"GA-4",0,"DEM"
"GA-5",0,"DEM"
"GA-6",.99935,"REP"
"GA-7",.022875,"DEM"
"GA-8",.999975,"REP"
"GA-9",1,"REP"
"HI-1",.000375,"DEM"
"HI-2",.002625,"DEM"
"IA-1",.80185,"REP"
"IA-2",.757825,"REP"
"IA-3",.5823,"REP"
"IA-4",.99985,"REP"
"ID-1",1,"REP"
"ID-2",.99985,"REP"
"IL-1",.000075,"DEM"
"IL-10",.00175,"DEM"
"IL-11",.067675,"DEM"
"IL-12",.999975,"REP"
"IL-13",.126525,"DEM"
"IL-14",.1613,"DEM"
"IL-15",.99995,"REP"
"IL-16",.9997,"REP"
"IL-17",.429275,"DEM"
"IL-2",0,"DEM"
"IL-3",.000025,"DEM"
"IL-4",.000025,"DEM"
"IL-5",.0001,"DEM"
"IL-6",.260175,"DEM"
"IL-7",0,"DEM"
"IL-8",.0308,"DEM"
"IL-9",0,"DEM"
"IN-1",.143475,"DEM"
"IN-2",.996525,"REP"
"IN-3",.99985,"REP"
"IN-4",.9999,"REP"
"IN-5",.998225,"REP"
"IN-6",.999975,"REP"
"IN-7",.0001,"DEM"
"IN-8",.99995,"REP"
"IN-9",.99545,"REP"
"KS-1",.99995,"REP"
"KS-2",.998725,"REP"
"KS-3",.57425,"DEM"
"KS-4",.99975,"REP"
"KY-1",.999975,"REP"
"KY-2",.999975,"REP"
"KY-3",.005225,"DEM"
"KY-4",.9999,"REP"
"KY-5",1,"REP"
"KY-6",.996525,"REP"
"MA-1",.0012,"DEM"
"MA-2",.0012,"DEM"
"MA-3",.00095,"DEM"
"MA-4",0,"DEM"
"MA-5",0,"DEM"
"MA-6",.000925,"DEM"
"MA-7",0,"DEM"
"MA-8",.0001,"DEM"
"MA-9",.019525,"DEM"
"MD-1",.996475,"REP"
"MD-2",.0082,"DEM"
"MD-3",.00645,"DEM"
"MD-4",0,"DEM"
"MD-5",.000475,"DEM"
"MD-6",.65135,"DEM"
"MD-7",0,"DEM"
"MD-8",0,"DEM"
"ME-1",.0096,"DEM"
"ME-2",.4386,"DEM"
"MI-1",.996925,"REP"
"MI-10",.810425,"REP"
"MI-11",.022175,"DEM"
"MI-12",.000025,"DEM"
"MI-13",.000025,"DEM"
"MI-2",.99975,"REP"
"MI-3",.177975,"DEM"
"MI-4",.981525,"REP"
"MI-5",.9997,"REP"
"MI-6",.001525,"DEM"
"MI-7",.2838,"DEM"
"MI-8",.2172,"DEM"
"MI-9",.9998,"REP"
"MN-1",.96995,"REP"
"MN-2",.21885,"DEM"
"MN-3",.006725,"DEM"
"MN-4",.000125,"DEM"
"MN-5",0,"DEM"
"MN-6",.99965,"REP"
"MN-7",.999875,"REP"
"MN-8",.996475,"REP"
"MO-1",0,"DEM"
