ai_id,race,age,gender,marital_status,sms_treat,turnout2017,support_smith,environment_thermometer
"f57737fc9c3dabde23271345714dfb6a","black",73,"female","separated","Control",1,1,7
"974f0de9c5860103c481c7dc5d0b9ea2","black",26,"female","married","Control",0,0,5
"544ca018f0e8c73061d7e6eb9739ca94","white",36,"male","married","Treatment",0,0,10
"91f51410c89a3fb11c2bf953dd9686d5","white",39,"male","separated","Treatment",0,1,9
"f8f08aa57b4b724468aa278fe8637377","black",47,"male","separated","Control",0,1,7
"649667f294898f5bd2f19ec72ebe02bd","black",46,"female","married","Control",1,1,2
"eaaac331d1904e1aa537b78aac21c0ee","white",60,"female","married","Control",0,1,8
"f6c6679e063ea0889c142225c46ceca9","black",21,"male","unmarried","Control",0,1,4
"7b1b3dbaf915131f59ac8e352d9db962","white",35,"male","separated","Control",0,0,1
"45fb387b86d39a2d80709ed901447110","white",72,"male","married","Treatment",1,1,5
"dc4ebaaab9dfe1d468b96d65ef019fee","white",48,"female","married","Treatment",0,1,6
"06d789a07ba356bd9bd1ba87ad471daf","white",44,"male","separated","Control",0,1,5
"fa627f40a84ff63be503069fe47a2e0d","hispanic",28,"female","unmarried","Control",0,1,4
"b06008341fcb4403d30acbc783b543ff","black",34,"male","separated","Control",1,0,4
"dadd894462fc2bed5f61f7f5f490e500","white",48,"female","married","Control",1,1,7
"71632acb2fa73bb51f5d12dde99f8848","hispanic",65,"male","separated","Control",1,0,8
"964d734a89049e72a969e3a00225e7ee","white",45,"male","married","Treatment",0,1,7
"a1aa3fa859dd2901928f7041f3754b32","black",35,"female","married","Treatment",1,1,2
"a002ca0f9c1c3beb5ea86e890c383d8a","black",22,"female","unmarried","Control",0,1,5
"58c822402be355c64c29ace550ed1a70","white",37,"male","married","Control",1,1,4
"acb665fd9d7762d15585894e3ad3951a","white",41,"female","married","Treatment",1,1,4
"4a538ab42c9875fa27277530bc449d3a","white",40,"male","married","Control",0,1,6
"8ad2d53bf744648dc5f575f77f99b555","white",40,"female","separated","Control",1,1,10
"76e632429b244d3245688037fd05517f","black",57,"female","married","Treatment",1,1,3
"14264efa135612b41df619a92682efda","hispanic",36,"male","separated","Control",0,1,5
"3f10731608bcec72bdcff2d564a2ff40","white",33,"female","married","Control",0,1,4
"1dc701f85533be1fa4977f768dbc1c8e","white",42,"male","married","Control",0,0,6
"36daa044da9310bfe4382c5095e71864","black",26,"female","married","Treatment",0,0,7
"56a43335272e8dd0160be60126cf306a","white",21,"female","unmarried","Treatment",0,1,6
"1f56f090326b574c40aa0fe0938d63b6","black",33,"female","separated","Treatment",0,1,7
"5d02d969503511544e0012c5d6bf89ed","white",27,"male","unmarried","Control",1,1,5
"32f5d4894d571ff010df6a923903f1a7","white",67,"male","married","Treatment",1,0,6
"45585be4318badefc192c310e5d56574","white",24,"male","unmarried","Control",0,0,9
"36c1892e608f43f084d9950a84daff85","black",57,"male","married","Treatment",1,1,6
"49904dbc21650ebe42159d948bc418cd","hispanic",40,"male","married","Control",1,1,5
"ecb8823cc04a9417fba834493a20b1e2","white",23,"female","married","Treatment",0,1,4
"af27d9d8000ac6cf1cd41d37ab935aa7","native_american",41,"male","married","Control",0,0,8
"9505ba9e2d3a20c1b51c1f242efcc059","white",37,"female","married","Treatment",0,1,6
"d743d49ee558b06fabcd6caf5ecf7156","white",37,"female","separated","Treatment",1,0,5
"84f20fb7a3265f6b380b0c3649e9600a","white",73,"female","separated","Control",0,1,3
"ec2bee7e1c6c81007750ce1b415ec233","white",60,"female","married","Control",1,0,5
"ca3e70fc1d43b32146b7c7f5d5c4e02e","black",19,"female","unmarried","Treatment",0,0,2
"22f276aa97d76a76b4cdfc1587954cbd","black",72,"male","separated","Control",1,0,7
"6eb1f1f63cc655ccce26338ef2f2acae","white",66,"female","separated","Control",1,1,5
"9edb40b7697a1495f29cc1b0094d7fa2","native_american",48,"female","separated","Control",0,0,9
"99db48f506ef1db200419d8ddef52808","black",19,"male","married","Treatment",0,0,8
"e50773ce83c8154d9044ee1b226fa785","white",35,"male","married","Treatment",0,0,9
"2f81d252967759b2daf67975fb8f0608","black",26,"female","unmarried","Treatment",0,1,4
"9f42ddb77d0182f4c6e7865ffe0437d5","white",36,"male","married","Treatment",1,0,5
"77c8f38dffdad2fe1e5e9693819117e9","black",41,"female","married","Control",1,0,5
"c76285a6ea15a97c3328bc2f2661be85","white",54,"female","separated","Control",0,1,6
"91f3173750a2d4419a0badf2ca8ed5c5","white",27,"male","unmarried","Treatment",1,1,9
"aeebf3ec496b225446bce3747b27a2d8","native_american",56,"male","separated","Treatment",0,1,5
"79c71a924503bfe2d450654372357dca","white",50,"male","married","Treatment",0,1,10
"a2dc408d230e41a30ff088c5c02399c5","hispanic",45,"female","married","Treatment",1,1,3
"992401a85d763e74681242d3d0188d7c","black",44,"male","separated","Control",1,1,8
"02a6d853b9c47a929dcb831b956ae2c4","white",78,"female","married","Treatment",0,1,7
"78a596e9eedb5e72fb0c4f18c21924df","white",34,"female","married","Control",1,1,4
"7db44acfe3408a1674a3bc5669c466b2","black",58,"female","married","Control",1,0,5
"d1b82166eb0932e6588bf29315a60085","white",55,"female","married","Control",1,1,5
"04d52fdfedfd003dba17690161f3a5cc","white",32,"male","separated","Treatment",0,0,6
"85bd32104ac4cbd741e9457f2975f5e5","white",49,"female","separated","Control",1,1,5
"4122fbb532de8d27b96e6fd081d47aaf","white",46,"male","unmarried","Treatment",1,1,7
"695aac26b29e0d35c49ad5fd6837c500","white",23,"female","unmarried","Control",0,0,6
"1b4a16a54df6ee7c8b407e1db15b5ff4","white",41,"male","married","Control",0,0,6
"b5f250d0bb105c04ba82d4a9d2b8e00b","white",29,"male","unmarried","Control",0,1,7
"e5b727c98cd5280f12c28abd46d77577","white",40,"male","separated","Treatment",1,1,10
"23b8d452b736a63e2475a6105cecd054","white",33,"female","separated","Control",1,1,3
