county,precinct,number_active_voters_2024,votesBiden_2020,votesJorgensen_2020,votesTrump_2020,average_voter_age,average_voter_income,average_voter_turnout_2022,average_voter_turnout_2020,average_voter_female,average_voter_reg_democrat,average_voter_reg_republican,average_voter_hispanic,average_voter_afam,deb_fischer,dan_osborn,senate_totals,harris_walz,trump_vance,chaseoliver,cornelwest,jillstein,potus_totals
"ADAMS","1-A",1066,20,252,570,52.0047,52435.589,.45309567,.66697937,.5365854,.217636,.543152,.0900563,0,411,335,746,238,501,9,5,3,756
"ADAMS","1-B",867,15,187,401,51.4116,58125.992,.45444059,.6412918,.5201845,.2191465,.5259516,.0784314,.0011534,330,305,635,206,429,6,4,1,646
"ADAMS","1-C",676,12,222,297,65.0725,45159.882,.55769229,.69378698,.5991125,.2825444,.5207101,.091716,.0014793,247,229,476,204,275,3,3,0,485
"ADAMS","2-A",1102,9,77,258,51.5195,99476.627,.65154266,.800363,.4936479,.1578947,.6533575,.030853,0,676,321,997,240,752,6,1,1,1000
"ADAMS","2-B",704,18,176,458,51.7173,69203.305,.53125,.72727275,.5213068,.21875,.5795454,.0454545,.0014205,356,200,556,144,411,3,4,4,566
"ADAMS","2-C",1260,12,170,388,56.2875,100214.53,.6761905,.80873019,.5293651,.2174603,.6095238,.0238095,.0015873,640,443,1083,364,717,4,3,1,1089
"ADAMS","3-A",1355,12,248,392,51.2472,78500.671,.53579336,.7121771,.5188192,.2450185,.5077491,.0782288,.000738,561,524,1085,438,626,9,10,12,1095
"ADAMS","3-B",824,15,250,310,51.2002,69081.293,.5169903,.71844661,.5097088,.2548544,.5084952,.0752427,.0036408,357,286,643,228,414,5,3,3,653
"ADAMS","3-C",1471,23,254,441,54.1006,133125.44,.67233175,.80897349,.5016995,.1753909,.6485384,.0156356,0,876,451,1327,389,938,6,1,4,1338
"ADAMS","4-A",601,13,193,276,48.7321,75305.299,.50582361,.67221296,.5141431,.249584,.4891847,.0865225,.0033278,230,228,458,179,274,4,3,2,462
"ADAMS","4-B",1023,15,213,339,52.4873,75995.723,.58553272,.74780059,.5171065,.2668622,.5151515,.0361681,0,426,434,860,357,491,8,2,2,860
"ADAMS","4-C",335,7,156,169,53.7791,103773.63,.59104478,.77910447,.5582089,.1701493,.6656716,.0149254,0,199,133,332,112,223,1,1,0,337
"ADAMS","4-D",1069,25,283,626,54.2789,73677.491,.5659495,.73152477,.5388213,.222638,.556595,.0383536,.0046773,490,377,867,290,572,7,4,4,877
"ADAMS","AYR",477,9,77,325,51.5786,102805.13,.65828091,.78616351,.475891,.1320755,.7568134,.0083857,0,324,92,416,72,337,1,1,0,411
"ADAMS","BLAINE",353,1,11,101,55.3824,92742.849,.57790369,.77903682,.470255,.0991501,.7478753,.0311615,0,229,49,278,25,261,0,1,0,287
"ADAMS","DENVER",727,10,137,495,55.4319,101110.49,.65887207,.81705642,.4924347,.1499312,.7001376,.0220083,0,437,174,611,136,468,4,1,2,611
"ADAMS","HOLSTEIN",229,1,18,160,53.4454,82516.544,.58515286,.73799127,.4366812,.1179039,.7729257,0,0,156,29,185,16,171,1,0,1,189
