Precinct,Registered Voters,Matt Dugan,Steve Zappala,Total
Aleppo,1319,157,95,252
Aspinwall Dist 1,828,124,125,249
Aspinwall Dist 2,563,83,79,162
Aspinwall Dist 3,813,140,126,266
Avalon Ward 1,1030,139,51,190
Avalon Ward 2 Dist 1,658,69,41,110
Avalon Ward 2 Dist 2,434,48,39,87
Avalon Ward 3 Dist 1,318,32,29,61
Avalon Ward 3 Dist 2,426,51,41,93
Avalon Ward 3 Dist 3,481,72,28,101
Baldwin Br Dist 1,600,40,80,120
Baldwin Br Dist 2,991,112,123,236
Baldwin Br Dist 3,819,61,74,135
Baldwin Br Dist 4,759,54,69,124
Baldwin Br Dist 5,789,49,70,119
Baldwin Br Dist 6,722,62,69,131
Baldwin Br Dist 7,802,48,68,116
Baldwin Br Dist 8,705,41,98,139
Baldwin Br Dist 9,753,51,94,145
Baldwin Br Dist 10,974,32,48,80
Baldwin Br Dist 11,1248,73,87,160
Baldwin Br Dist 12,612,51,66,118
Baldwin Br Dist 13,663,50,91,141
Baldwin Br Dist 14,590,46,68,114
Baldwin Br Dist 15,758,58,106,164
Baldwin Br Dist 16,877,63,109,172
Baldwin Br Dist 17,635,58,75,133
Baldwin Br Dist 18,911,77,115,193
Baldwin Tp Dist 1,774,68,74,142
Baldwin Tp Dist 2,718,58,91,149
Bell Acres,1175,107,89,196
Bellevue Ward 1 Dist 1,945,108,53,161
Bellevue Ward 1 Dist 2,894,103,65,168
Bellevue Ward 2 Dist 1,1055,96,57,154
Bellevue Ward 2 Dist 2,924,100,53,153
Bellevue Ward 3 Dist 1,955,103,51,154
Bellevue Ward 3 Dist 2,937,110,73,183
Ben Avon Dist 1,472,72,41,113
Ben Avon Dist 2,972,152,74,226
Ben Avon Ht,336,44,34,78
Bethel Park Ward 1 Dist 1,819,61,65,126
Bethel Park Ward 1 Dist 2,751,66,73,139
Bethel Park Ward 1 Dist 3,804,70,85,155
Bethel Park Ward 2 Dist 1,707,61,67,128
Bethel Park Ward 2 Dist 2,924,69,74,144
