Precinct,Registered Voters,DEM Josh Shapiro,REP Douglas V. Mastriano,Total
Aleppo,1379,582,375,980
Aspinwall Dist 1,864,472,134,617
Aspinwall Dist 2,574,311,70,388
Aspinwall Dist 3,852,459,134,605
Avalon Ward 1,1094,480,121,614
Avalon Ward 2 Dist 1,697,291,96,397
Avalon Ward 2 Dist 2,460,195,73,274
Avalon Ward 3 Dist 1,327,137,55,196
Avalon Ward 3 Dist 2,438,194,67,266
Avalon Ward 3 Dist 3,495,227,72,309
Baldwin Br Dist 1,613,264,135,405
Baldwin Br Dist 2,1014,490,220,724
Baldwin Br Dist 3,847,393,155,558
Baldwin Br Dist 4,770,304,193,507
Baldwin Br Dist 5,811,339,162,506
Baldwin Br Dist 6,747,301,180,492
Baldwin Br Dist 7,811,342,193,545
Baldwin Br Dist 8,732,323,182,513
Baldwin Br Dist 9,768,328,157,497
Baldwin Br Dist 10,1057,259,116,388
Baldwin Br Dist 11,1296,432,135,575
Baldwin Br Dist 12,635,279,147,432
Baldwin Br Dist 13,687,305,178,490
Baldwin Br Dist 14,615,245,164,417
Baldwin Br Dist 15,787,353,189,550
Baldwin Br Dist 16,908,381,189,580
Baldwin Br Dist 17,656,287,151,441
Baldwin Br Dist 18,932,388,199,600
Baldwin Tp Dist 1,803,379,198,582
Baldwin Tp Dist 2,735,312,169,487
Bell Acres,1203,476,343,840
Bellevue Ward 1 Dist 1,987,378,139,532
Bellevue Ward 1 Dist 2,941,427,138,574
Bellevue Ward 2 Dist 1,1111,456,139,605
Bellevue Ward 2 Dist 2,993,424,123,558
Bellevue Ward 3 Dist 1,1007,424,135,568
Bellevue Ward 3 Dist 2,962,406,165,582
Ben Avon Dist 1,478,270,91,364
Ben Avon Dist 2,998,529,178,722
Ben Avon Ht,340,175,83,264
Bethel Park Ward 1 Dist 1,859,332,244,585
Bethel Park Ward 1 Dist 2,772,354,171,533
Bethel Park Ward 1 Dist 3,824,347,234,590
Bethel Park Ward 2 Dist 1,728,298,215,523
Bethel Park Ward 2 Dist 2,943,385,273,671
Bethel Park Ward 2 Dist 3,1099,435,331,778
Bethel Park Ward 3 Dist 1,799,336,246,596
Bethel Park Ward 3 Dist 2,1103,485,310,805
Bethel Park Ward 3 Dist 3,1085,464,321,796
