Precinct,Registered Voters,DEM John Fetterman,REP Mehmet Oz,Total
Aleppo,1379,506,461,984
Aspinwall Dist 1,864,439,171,618
Aspinwall Dist 2,574,285,98,386
Aspinwall Dist 3,852,430,166,607
Avalon Ward 1,1094,466,138,615
Avalon Ward 2 Dist 1,697,275,115,397
Avalon Ward 2 Dist 2,460,190,80,275
Avalon Ward 3 Dist 1,327,136,58,195
Avalon Ward 3 Dist 2,438,188,72,267
Avalon Ward 3 Dist 3,495,218,83,310
Baldwin Br Dist 1,613,242,157,402
Baldwin Br Dist 2,1014,444,263,727
Baldwin Br Dist 3,847,359,183,559
Baldwin Br Dist 4,770,284,212,508
Baldwin Br Dist 5,811,304,198,508
Baldwin Br Dist 6,747,268,211,493
Baldwin Br Dist 7,811,312,221,544
Baldwin Br Dist 8,732,298,209,515
Baldwin Br Dist 9,768,300,185,498
Baldwin Br Dist 10,1057,240,141,392
Baldwin Br Dist 11,1296,410,159,580
Baldwin Br Dist 12,635,257,171,434
Baldwin Br Dist 13,687,265,216,491
Baldwin Br Dist 14,615,211,193,416
Baldwin Br Dist 15,787,316,224,548
Baldwin Br Dist 16,908,356,217,583
Baldwin Br Dist 17,656,261,169,440
Baldwin Br Dist 18,932,359,230,603
Baldwin Tp Dist 1,803,338,237,583
Baldwin Tp Dist 2,735,289,196,488
Bell Acres,1203,418,401,843
Bellevue Ward 1 Dist 1,987,364,158,530
Bellevue Ward 1 Dist 2,941,410,151,573
Bellevue Ward 2 Dist 1,1111,434,154,604
Bellevue Ward 2 Dist 2,993,403,142,558
Bellevue Ward 3 Dist 1,1007,408,145,566
Bellevue Ward 3 Dist 2,962,386,186,582
Ben Avon Dist 1,478,260,102,366
Ben Avon Dist 2,998,490,216,720
Ben Avon Ht,340,156,98,262
Bethel Park Ward 1 Dist 1,859,305,273,586
Bethel Park Ward 1 Dist 2,772,324,198,533
Bethel Park Ward 1 Dist 3,824,312,271,590
Bethel Park Ward 2 Dist 1,728,269,247,526
Bethel Park Ward 2 Dist 2,943,349,316,677
Bethel Park Ward 2 Dist 3,1099,384,383,782
Bethel Park Ward 3 Dist 1,799,284,306,598
Bethel Park Ward 3 Dist 2,1103,420,375,804
Bethel Park Ward 3 Dist 3,1085,411,369,794
Bethel Park Ward 4 Dist 1,1317,468,459,944
Bethel Park Ward 4 Dist 2,801,317,258,585
Bethel Park Ward 4 Dist 3,883,325,263,599
Bethel Park Ward 5 Dist 1,694,235,225,470
Bethel Park Ward 5 Dist 2,636,226,185,420
Bethel Park Ward 5 Dist 3,1513,589,383,993
Bethel Park Ward 6 Dist 1,1310,443,438,895
Bethel Park Ward 6 Dist 2,954,363,309,683
Bethel Park Ward 6 Dist 3,885,336,301,650
Bethel Park Ward 7 Dist 1,1182,439,417,869
Bethel Park Ward 7 Dist 2,1244,451,361,830
Bethel Park Ward 7 Dist 3,754,285,243,539
Bethel Park Ward 8 Dist 1,569,222,171,401
Bethel Park Ward 8 Dist 2,537,200,81,292
Bethel Park Ward 8 Dist 3,1317,507,407,929
Bethel Park Ward 8 Dist 4,467,197,130,336
Bethel Park Ward 9 Dist 1,587,234,187,426
Bethel Park Ward 9 Dist 2,710,287,164,459
Bethel Park Ward 9 Dist 3,1397,505,476,993
Blawnox,1011,393,203,613
Brackenridge Ward 1,491,151,113,266
Brackenridge Ward 2,763,240,212,465
Brackenridge Ward 3,667,168,181,359
Braddock Ward 1,470,187,7,197
Braddock Ward 2,607,241,24,266
Braddock Ward 3,432,152,5,158
Braddock Hl Dist 1,780,302,101,418
Braddock Hl Dist 2,520,269,82,359
Bradford Woods,1015,375,350,745
Brentwood Dist 1,539,233,120,362
Brentwood Dist 2,742,269,154,434
Brentwood Dist 3,623,227,148,377
Brentwood Dist 4,798,310,172,487
Brentwood Dist 5,724,279,97,386
Brentwood Dist 6,690,241,99,346
Brentwood Dist 7,766,288,146,447
Brentwood Dist 8,727,303,191,501
Brentwood Dist 9,610,261,146,411
Brentwood Dist 10,537,165,152,324
Bridgeville Dist 1,789,263,186,461
Bridgeville Dist 2,864,300,195,500
Bridgeville Dist 3,861,289,265,567
Bridgeville Dist 4,983,392,243,652
Carnegie Ward 1 Dist 1,551,201,95,305
Carnegie Ward 1 Dist 2,1200,475,252,736
Carnegie Ward 1 Dist 3,882,342,192,554
Carnegie Ward 1 Dist 4,389,134,38,181
Carnegie Ward 2 Dist 1,655,237,125,375
Carnegie Ward 2 Dist 2,506,204,96,305
Carnegie Ward 2 Dist 3,507,202,150,364
Carnegie Ward 2 Dist 4,888,287,167,461
Casl Shannon Dist 1,1090,380,179,577
Casl Shannon Dist 2,806,333,193,539
Casl Shannon Dist 3,854,326,204,543
Casl Shannon Dist 4,661,256,144,406
Casl Shannon Dist 5,775,355,160,524
Casl Shannon Dist 6,644,278,155,443
Casl Shannon Dist 7,762,327,176,519
Casl Shannon Dist 8,546,234,144,381
Chalfant Dist 1,596,216,129,353
Cheswick Dist 1,619,230,195,436
Cheswick Dist 2,656,249,227,484
Churchill Dist 1,720,399,133,536
Churchill Dist 2,720,383,136,525
Churchill Dist 3,653,356,129,490
Churchill Dist 4,723,340,161,508
Clairton Ward 1 Dist 1,351,107,43,153
Clairton Ward 1 Dist 2,394,110,83,194
Clairton Ward 1 Dist 3,327,83,73,162
Clairton Ward 2 Dist 1,111,41,0,41
Clairton Ward 2 Dist 2,292,117,12,130
Clairton Ward 2 Dist 3,433,122,23,147
Clairton Ward 3 Dist 1,427,147,66,216
Clairton Ward 3 Dist 2,354,110,50,165
Clairton Ward 3 Dist 3,370,70,49,119
Clairton Ward 4 Dist 1,366,134,15,155
Clairton Ward 4 Dist 2,335,111,23,135
Clairton Ward 4 Dist 3,439,139,85,231
Collier Dist 1,1477,515,514,1050
