County,Sara Innamorato,Joseph E. Rockey,Total
Aleppo,300,440,740
Aspinwall Dist 1,292,194,486
Aspinwall Dist 2,168,129,297
Aspinwall Dist 3,264,214,479
Avalon Ward 1,232,121,354
Avalon Ward 2 Dist 1,144,94,238
Avalon Ward 2 Dist 2,105,81,186
Avalon Ward 3 Dist 1,70,62,132
Avalon Ward 3 Dist 2,97,58,155
Avalon Ward 3 Dist 3,117,86,204
Baldwin Br Dist 1,114,144,258
Baldwin Br Dist 2,218,235,454
Baldwin Br Dist 3,134,140,275
Baldwin Br Dist 4,118,176,296
Baldwin Br Dist 5,131,171,303
Baldwin Br Dist 6,111,172,284
Baldwin Br Dist 7,131,203,334
Baldwin Br Dist 8,119,183,302
Baldwin Br Dist 9,139,159,298
Baldwin Br Dist 10,94,104,198
Baldwin Br Dist 11,157,132,289
Baldwin Br Dist 12,92,144,236
Baldwin Br Dist 13,111,209,320
Baldwin Br Dist 14,88,184,273
Baldwin Br Dist 15,148,198,347
Baldwin Br Dist 16,144,222,366
Baldwin Br Dist 17,125,157,282
Baldwin Br Dist 18,170,216,386
Baldwin Tp Dist 1,178,177,355
Baldwin Tp Dist 2,156,126,282
Bell Acres,231,400,631
Bellevue Ward 1 Dist 1,196,133,329
Bellevue Ward 1 Dist 2,214,138,352
Bellevue Ward 2 Dist 1,215,130,345
Bellevue Ward 2 Dist 2,205,138,344
Bellevue Ward 3 Dist 1,213,162,375
Bellevue Ward 3 Dist 2,208,158,366
Ben Avon Dist 1,143,89,234
Ben Avon Dist 2,280,192,472
Ben Avon Ht,83,125,208
Bethel Park Ward 1 Dist 1,158,228,386
Bethel Park Ward 1 Dist 2,177,170,347
Bethel Park Ward 1 Dist 3,159,236,395
Bethel Park Ward 2 Dist 1,135,243,379
Bethel Park Ward 2 Dist 2,170,280,451
Bethel Park Ward 2 Dist 3,199,309,508
Bethel Park Ward 3 Dist 1,150,286,436
Bethel Park Ward 3 Dist 2,202,329,531
Bethel Park Ward 3 Dist 3,213,347,561
Bethel Park Ward 4 Dist 1,238,416,656
Bethel Park Ward 4 Dist 2,169,234,403
Bethel Park Ward 4 Dist 3,164,251,416
Bethel Park Ward 5 Dist 1,102,207,310
Bethel Park Ward 5 Dist 2,100,158,260
Bethel Park Ward 5 Dist 3,314,368,682
Bethel Park Ward 6 Dist 1,225,388,613
Bethel Park Ward 6 Dist 2,197,273,471
Bethel Park Ward 6 Dist 3,189,281,471
Bethel Park Ward 7 Dist 1,206,334,541
Bethel Park Ward 7 Dist 2,244,326,570
Bethel Park Ward 7 Dist 3,126,218,345
Bethel Park Ward 8 Dist 1,122,152,274
Bethel Park Ward 8 Dist 2,106,85,192
Bethel Park Ward 8 Dist 3,268,397,666
Bethel Park Ward 8 Dist 4,106,124,231
Bethel Park Ward 9 Dist 1,115,163,281
Bethel Park Ward 9 Dist 2,155,143,298
Bethel Park Ward 9 Dist 3,264,421,685
Blawnox,201,165,367
Brackenridge Ward 1,61,67,128
Brackenridge Ward 2,123,159,282
Brackenridge Ward 3,79,99,178
Braddock Ward 1,93,10,103
Braddock Ward 2,129,22,151
Braddock Ward 3,82,4,86
Braddock Hl Dist 1,159,84,243
Braddock Hl Dist 2,162,95,257
Bradford Woods,206,337,543
Brentwood Dist 1,114,99,213
Brentwood Dist 2,123,118,241
Brentwood Dist 3,126,101,227
Brentwood Dist 4,143,126,269
Brentwood Dist 5,121,71,192
Brentwood Dist 6,109,77,186
Brentwood Dist 7,136,102,238
Brentwood Dist 8,142,173,315
Brentwood Dist 9,128,118,247
Brentwood Dist 10,72,108,180
Bridgeville Dist 1,128,165,294
Bridgeville Dist 2,142,153,295
Bridgeville Dist 3,137,225,364
Bridgeville Dist 4,219,246,468
