County,Steve Zappala,Matt Dugan,Total
Aleppo,447,295,742
Aspinwall Dist 1,236,253,489
Aspinwall Dist 2,145,150,295
Aspinwall Dist 3,223,252,475
Avalon Ward 1,128,226,354
Avalon Ward 2 Dist 1,102,137,240
Avalon Ward 2 Dist 2,87,97,184
Avalon Ward 3 Dist 1,66,65,131
Avalon Ward 3 Dist 2,68,89,157
Avalon Ward 3 Dist 3,90,112,202
Baldwin Br Dist 1,170,88,258
Baldwin Br Dist 2,251,199,450
Baldwin Br Dist 3,159,120,279
Baldwin Br Dist 4,191,107,299
Baldwin Br Dist 5,193,113,306
Baldwin Br Dist 6,191,92,284
Baldwin Br Dist 7,214,120,334
Baldwin Br Dist 8,201,102,303
Baldwin Br Dist 9,180,124,304
Baldwin Br Dist 10,111,84,195
Baldwin Br Dist 11,153,137,290
Baldwin Br Dist 12,148,88,236
Baldwin Br Dist 13,235,87,322
Baldwin Br Dist 14,207,69,276
Baldwin Br Dist 15,241,104,345
Baldwin Br Dist 16,246,119,365
Baldwin Br Dist 17,175,107,282
Baldwin Br Dist 18,251,139,390
Baldwin Tp Dist 1,219,138,357
Baldwin Tp Dist 2,157,124,282
Bell Acres,418,213,631
Bellevue Ward 1 Dist 1,142,187,330
Bellevue Ward 1 Dist 2,149,197,347
Bellevue Ward 2 Dist 1,130,213,344
Bellevue Ward 2 Dist 2,147,196,343
Bellevue Ward 3 Dist 1,162,213,375
Bellevue Ward 3 Dist 2,164,200,365
Ben Avon Dist 1,86,148,235
Ben Avon Dist 2,195,276,471
Ben Avon Ht,127,82,209
Bethel Park Ward 1 Dist 1,247,141,388
Bethel Park Ward 1 Dist 2,180,165,345
Bethel Park Ward 1 Dist 3,247,149,396
Bethel Park Ward 2 Dist 1,253,121,374
Bethel Park Ward 2 Dist 2,290,159,449
Bethel Park Ward 2 Dist 3,331,178,510
Bethel Park Ward 3 Dist 1,299,134,433
Bethel Park Ward 3 Dist 2,330,201,532
Bethel Park Ward 3 Dist 3,371,188,560
Bethel Park Ward 4 Dist 1,432,224,656
Bethel Park Ward 4 Dist 2,254,148,402
Bethel Park Ward 4 Dist 3,261,153,414
Bethel Park Ward 5 Dist 1,208,105,313
Bethel Park Ward 5 Dist 2,160,98,258
Bethel Park Ward 5 Dist 3,424,257,681
Bethel Park Ward 6 Dist 1,416,198,614
Bethel Park Ward 6 Dist 2,290,178,468
Bethel Park Ward 6 Dist 3,300,174,475
Bethel Park Ward 7 Dist 1,345,196,542
Bethel Park Ward 7 Dist 2,356,217,573
Bethel Park Ward 7 Dist 3,235,110,347
Bethel Park Ward 8 Dist 1,168,108,277
Bethel Park Ward 8 Dist 2,105,86,191
Bethel Park Ward 8 Dist 3,413,255,668
Bethel Park Ward 8 Dist 4,132,96,229
Bethel Park Ward 9 Dist 1,180,103,283
Bethel Park Ward 9 Dist 2,163,137,300
Bethel Park Ward 9 Dist 3,441,245,687
Blawnox,199,170,370
Brackenridge Ward 1,82,50,133
Brackenridge Ward 2,182,99,281
Brackenridge Ward 3,115,68,183
Braddock Ward 1,15,89,105
Braddock Ward 2,22,129,151
Braddock Ward 3,2,84,86
Braddock Hl Dist 1,94,143,237
Braddock Hl Dist 2,108,148,256
Bradford Woods,336,208,545
Brentwood Dist 1,116,103,220
Brentwood Dist 2,137,107,246
Brentwood Dist 3,118,111,229
Brentwood Dist 4,151,119,270
Brentwood Dist 5,87,105,192
Brentwood Dist 6,94,94,188
Brentwood Dist 7,123,116,239
Brentwood Dist 8,200,116,318
Brentwood Dist 9,141,110,251
Brentwood Dist 10,126,51,179
Bridgeville Dist 1,188,108,296
Bridgeville Dist 2,163,127,291
Bridgeville Dist 3,251,117,369
Bridgeville Dist 4,263,202,466
Carnegie Ward 1 Dist 1,83,78,161
Carnegie Ward 1 Dist 2,189,209,398
Carnegie Ward 1 Dist 3,178,150,328
Carnegie Ward 1 Dist 4,44,63,107
Carnegie Ward 2 Dist 1,84,125,209
Carnegie Ward 2 Dist 2,83,98,182
Carnegie Ward 2 Dist 3,149,92,242
Carnegie Ward 2 Dist 4,124,127,251
Casl Shannon Dist 1,171,168,339
Casl Shannon Dist 2,175,148,324
Casl Shannon Dist 3,169,145,314
Casl Shannon Dist 4,131,120,251
Casl Shannon Dist 5,177,158,335
Casl Shannon Dist 6,158,111,270
Casl Shannon Dist 7,195,127,322
Casl Shannon Dist 8,134,106,240
Chalfant Dist 1,121,103,224
Cheswick Dist 1,220,125,345
Cheswick Dist 2,254,115,369
Churchill Dist 1,142,243,385
Churchill Dist 2,145,212,357
Churchill Dist 3,159,184,345
Churchill Dist 4,158,182,342
Clairton Ward 1 Dist 1,47,43,91
Clairton Ward 1 Dist 2,75,41,116
Clairton Ward 1 Dist 3,83,36,119
Clairton Ward 2 Dist 1,2,22,24
Clairton Ward 2 Dist 2,8,62,70
Clairton Ward 2 Dist 3,28,60,88
Clairton Ward 3 Dist 1,58,64,122
Clairton Ward 3 Dist 2,47,39,86
Clairton Ward 3 Dist 3,33,30,63
Clairton Ward 4 Dist 1,8,24,32
Clairton Ward 4 Dist 2,23,76,99
Clairton Ward 4 Dist 3,59,65,124
Collier Dist 1,464,263,727
Collier Dist 2,447,184,631
Collier Dist 3,419,211,630
Collier Dist 4,225,135,360
Collier Dist 5,352,111,464
Collier Dist 6,218,173,392
Coraopolis Ward 1 Dist 1,44,91,135
Coraopolis Ward 1 Dist 2,86,99,185
Coraopolis Ward 2,137,138,275
Coraopolis Ward 3 Dist 1,106,86,192
Coraopolis Ward 3 Dist 2,123,82,205
Coraopolis Ward 4 Dist 1,102,74,177
Coraopolis Ward 4 Dist 2,121,85,207
Crafton Ward 1 Dist 1,169,182,352
Crafton Ward 1 Dist 2,114,89,203
Crafton Ward 2 Dist 1,120,131,254
Crafton Ward 2 Dist 2,118,139,258
Crafton Ward 3 Dist 1,168,201,369
Crafton Ward 3 Dist 2,117,129,246
Crescent Ward 1,304,169,473
Crescent Ward 2,174,98,273
Dormont Dist 1,117,146,263
Dormont Dist 2,95,175,270
Dormont Dist 3,117,252,369
Dormont Dist 4,98,154,252
Dormont Dist 5,149,278,427
Dormont Dist 6,86,119,205
Dormont Dist 7,85,143,228
Dormont Dist 8,95,115,210
Dormont Dist 9,88,142,230
Dormont Dist 10,112,184,296
Dravosburg Dist 1,118,69,188
Dravosburg Dist 2,112,36,148
Dravosburg Dist 3,52,42,94
Duquesne Ward 1 Dist 1,65,85,150
Duquesne Ward 1 Dist 2,47,70,117
Duquesne Ward 1 Dist 3,8,44,52
Duquesne Ward 1 Dist 4,11,20,31
Duquesne Ward 2 Dist 1,20,59,79
Duquesne Ward 2 Dist 2,21,55,76
Duquesne Ward 2 Dist 3,40,57,97
Duquesne Ward 3 Dist 1,13,33,46
Duquesne Ward 3 Dist 2,3,19,22
Duquesne Ward 3 Dist 3,49,84,134
East Deer Ward 1,78,45,123
East Deer Ward 2,157,81,238
E McKeesport Dist 1,109,55,164
E McKeesport Dist 2,92,79,171
E McKeesport Dist 3,78,61,139
E Pittsburgh Ward 1,22,52,74
E Pittsburgh Ward 2,27,44,71
E Pittsburgh Ward 3,37,56,93
Edgewood Dist 1,105,402,507
Edgewood Dist 2,126,382,508
Edgewood Dist 3,105,367,472
Edgeworth Dist 1,205,165,372
Edgeworth Dist 2,271,166,437
Elizabeth Br,180,94,274
Elizabeth Tp Ward 1 Dist 1,193,70,263
Elizabeth Tp Ward 1 Dist 2,286,103,389
Elizabeth Tp Ward 2,392,148,541
Elizabeth Tp Ward 3,451,169,621
Elizabeth Tp Ward 4 Dist 1,234,110,344
Elizabeth Tp Ward 4 Dist 2,159,47,206
Elizabeth Tp Ward 5 Dist 1,116,31,147
Elizabeth Tp Ward 5 Dist 2,214,102,316
Elizabeth Tp Ward 6 Dist 1,181,64,245
Elizabeth Tp Ward 6 Dist 2,181,67,249
Elizabeth Tp Ward 7,330,171,501
Emsworth Dist 1,157,137,294
Emsworth Dist 2,180,168,348
Etna Ward 1,161,177,338
Etna Ward 2,103,95,198
Etna Ward 3,153,134,287
Fawn Dist 1,151,57,208
Fawn Dist 2,273,113,386
Findlay Dist 1,404,177,582
Findlay Dist 2,525,279,805
Findlay Dist 3,336,170,506
Forest Hills Dist 1,143,229,372
Forest Hills Dist 2,26,80,106
Forest Hills Dist 3,150,176,326
Forest Hills Dist 4,110,195,305
Forest Hills Dist 5,172,201,374
Forest Hills Dist 6,110,213,323
Forest Hills Dist 7,63,162,225
Forest Hills Dist 8,159,189,350
Forward Dist 1,131,33,164
Forward Dist 2,250,91,341
Forward Dist 3,112,49,161
