FIPS,STATE_FIPS,CD,Geographic Name,Geographic Subtype,Total Vote,RANKD,RANKR,RANKI,Democratic,Republican,Independent,Libertarian,Green,Constitution,CA Democratic,CA Republican,Unity,Write-ins,Independent American,Conservative,Working Families,Working Class,State1,State2,State3,State4,State5,State6,State7,State8
fips,state_fips,cd,name,type,totalvote,rankD,rankR,rankI,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22
1901,1,01,District 1,Congressional District,328066,2,1,0,70451,257310,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0
1902,1,02,District 2,Congressional District,288156,1,2,0,157092,130847,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0
1903,1,03,District 3,Congressional District,247792,0,1,0,0,242652,0,0,0,0,0,0,0,5140,0,0,0,0,0,0,0,0,0,0,0,0
1904,1,04,District 4,Congressional District,277285,0,1,0,0,273915,0,0,0,0,0,0,0,3370,0,0,0,0,0,0,0,0,0,0,0,0
1905,1,05,District 5,Congressional District,261415,0,1,0,0,249365,0,0,0,0,0,0,0,12050,0,0,0,0,0,0,0,0,0,0,0,0
1906,1,06,District 6,Congressional District,344927,2,1,0,101838,242709,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0
1907,1,07,District 7,Congressional District,292759,1,2,0,186407,106168,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0
2901,2,01,At Large,Congressional District,249271,2,1,0,114511,124969,0,0,0,9791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2901,2,01,At Large,Congressional District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2901,2,01,At Large,Congressional District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4901,4,01,District 1,Congressional District,357742,2,1,0,171218,186524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4902,4,02,District 2,Congressional District,341700,2,1,0,156367,185333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4903,4,03,District 3,Congressional District,147671,1,2,0,103745,40457,0,0,3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4904,4,04,District 4,Congressional District,263467,1,2,0,138172,121068,0,0,4227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4905,4,05,District 5,Congressional District,344538,2,1,0,135649,208889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4906,4,06,District 6,Congressional District,333354,2,1,0,162374,163317,0,0,7663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4907,4,07,District 7,Congressional District,195367,1,2,0,123558,71809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4908,4,08,District 8,Congressional District,301502,2,1,0,130922,170580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4909,4,09,District 9,Congressional District,309299,2,1,0,104212,205087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5901,5,01,District 1,Congressional District,266685,2,1,0,63917,194432,0,8336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5902,5,02,District 2,Congressional District,305624,2,1,0,125395,180229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5903,5,03,District 3,Congressional District,300489,2,1,0,95396,191788,0,13305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5904,5,04,District 4,Congressional District,269673,2,1,0,73004,196669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6901,6,01,District 1,Congressional District,211994,2,1,0,77094,134900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6902,6,02,District 2,Congressional District,239802,1,2,0,172314,67488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6903,6,03,District 3,Congressional District,300295,2,1,0,130087,170208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6904,6,04,District 4,Congressional District,221583,1,2,0,144198,77385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6905,6,05,District 5,Congressional District,300376,2,1,0,112278,188098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6906,6,06,District 6,Congressional District,179975,1,2,0,103067,76908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6907,6,07,District 7,Congressional District,181539,1,2,0,118725,62814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6908,6,08,District 8,Congressional District,238251,1,2,0,175455,62796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6909,6,09,District 9,Congressional District,167032,1,2,0,85528,81504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6910,6,10,District 10,Congressional District,306136,1,2,0,203881,102255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6911,6,11,District 11,Congressional District,216569,1,2,0,175165,41404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6912,6,12,District 12,Congressional District,130426,1,0,0,82906,0,0,0,0,0,47520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6913,6,13,District 13,Congressional District,130089,2,1,0,63414,66675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6914,6,14,District 14,Congressional District,144499,1,2,0,94789,49710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6915,6,15,District 15,Congressional District,198328,1,2,0,143170,55158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6916,6,16,District 16,Congressional District,216557,1,0,0,128820,0,0,0,0,0,87737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6917,6,17,District 17,Congressional District,168669,1,2,0,112323,56346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6918,6,18,District 18,Congressional District,148783,1,2,0,94729,54054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6919,6,19,District 19,Congressional District,266247,1,2,0,186066,80181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6920,6,20,District 20,Congressional District,208535,0,1,0,0,136283,0,0,0,0,0,72252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6921,6,21,District 21,Congressional District,130631,1,2,0,65967,64664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6922,6,22,District 22,Congressional District,115419,2,1,0,52519,62900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6923,6,23,District 23,Congressional District,172266,2,1,0,68223,104043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6924,6,24,District 24,Congressional District,241379,1,2,0,151271,90108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6925,6,25,District 25,Congressional District,164506,1,2,0,92934,71572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6926,6,26,District 26,Congressional District,241429,1,2,0,131653,109776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6927,6,27,District 27,Congressional District,253149,2,1,0,126088,127061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6928,6,28,District 28,Congressional District,253004,1,2,0,163483,89521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6929,6,29,District 29,Congressional District,172193,1,2,0,118506,53687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6930,6,30,District 30,Congressional District,263460,1,2,0,178429,85031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6931,6,31,District 31,Congressional District,206999,1,2,0,120631,86368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6932,6,32,District 32,Congressional District,269131,1,2,0,175974,93157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6933,6,33,District 33,Congressional District,135356,1,2,0,77213,58143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6934,6,34,District 34,Congressional District,150094,1,0,0,84472,0,0,0,0,0,65622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
