bl_id,vf_age,vf_vote_gen_12,vf_vote_gen_16,vf_vote_gen_18,vf_vote_gen_20,vf_female,vf_white,voted_2022,treat
1,68,1,1,1,0,1,1,0,"BothMailers"
2,46,0,0,0,1,1,1,0,"HowToOnly"
3,56,0,0,0,0,0,1,0,"BothMailers"
4,51,1,1,0,1,0,1,0,"HowToOnly"
5,63,0,1,0,0,1,1,0,"HowToOnly"
6,63,1,1,0,1,1,1,0,"HowToOnly"
7,69,0,0,0,1,1,1,0,"HowToOnly"
8,68,1,1,1,1,0,1,1,"HowToOnly"
9,23,0,0,1,1,0,1,0,"Control"
11,63,0,1,0,1,0,1,0,"Control"
12,74,1,1,0,1,1,1,0,"HowToOnly"
14,58,1,1,1,1,0,1,1,"HowToOnly"
15,31,0,0,0,1,1,1,0,"BothMailers"
16,71,1,1,0,0,1,1,1,"Control"
17,81,1,1,0,0,1,1,0,"HowToOnly"
18,43,0,1,0,0,0,1,1,"HowToOnly"
19,41,0,1,1,1,1,1,0,"BothMailers"
21,69,0,0,0,1,1,1,0,"BothMailers"
22,34,1,0,0,0,0,1,0,"BothMailers"
23,30,0,0,1,1,1,1,0,"BothMailers"
24,27,1,1,0,1,1,1,1,"Control"
25,27,0,0,0,1,0,1,0,"Control"
28,27,1,0,0,1,1,1,0,"BothMailers"
29,39,1,1,0,1,0,1,0,"HowToOnly"
30,65,1,1,1,1,1,1,1,"HowToOnly"
31,41,0,1,1,1,1,1,0,"HowToOnly"
33,47,0,1,1,1,0,1,0,"HowToOnly"
35,76,1,1,1,0,1,1,1,"HowToOnly"
36,59,0,1,1,1,0,0,0,"HowToOnly"
37,86,0,1,1,0,0,1,0,"HowToOnly"
39,47,0,0,1,1,0,1,0,"BothMailers"
40,53,0,0,0,0,0,1,0,"BothMailers"
41,57,1,1,0,1,1,1,0,"Control"
43,45,1,1,1,1,1,1,1,"HowToOnly"
44,56,1,0,1,0,1,1,0,"BothMailers"
45,27,0,0,0,1,1,1,0,"BothMailers"
46,21,0,0,0,1,0,1,1,"HowToOnly"
47,36,1,1,0,1,0,1,0,"HowToOnly"
48,65,1,0,1,0,0,1,0,"BothMailers"
49,41,1,1,0,0,0,1,1,"HowToOnly"
