id,treat,voted06,voted08,voted09,voted10,voted11,voted12,voted13,voted14,age,race_afam,race_hispanic,race_other,race_white,female
1989703,1,0,0,0,0,0,0,0,0,26,0,0,0,1,1
555323,1,0,0,0,0,0,0,0,0,37,0,0,0,1,1
915202,1,1,1,0,1,0,0,0,1,26,1,0,0,0,0
839095,1,0,1,0,0,0,0,0,1,46,0,0,0,1,1
197647,1,0,0,0,0,0,0,0,0,21,0,0,0,1,0
1424089,1,0,0,0,0,0,0,0,1,48,0,0,0,1,1
85585,1,0,1,0,0,0,0,0,0,24,0,0,0,1,0
260279,1,0,0,0,0,0,0,0,0,25,0,0,0,1,0
571532,1,0,0,0,0,0,0,0,0,24,0,0,0,1,1
211204,1,0,1,0,0,0,0,0,0,39,0,0,0,1,1
421970,1,0,0,0,0,0,0,0,0,33,0,0,0,1,1
1607347,1,0,0,0,0,0,0,0,0,28,0,0,0,1,0
279901,1,0,1,0,0,0,0,0,0,24,0,0,1,0,0
2161341,1,0,0,0,0,0,0,0,0,29,0,0,0,1,1
1581153,1,1,0,0,0,0,0,0,0,56,0,0,0,1,1
1852287,1,0,1,0,1,0,0,0,0,34,0,1,0,0,0
2007236,1,0,0,0,0,0,0,0,0,28,1,0,0,0,1
115254,1,0,0,0,0,0,0,0,0,23,0,0,0,1,1
591466,1,0,0,0,0,0,0,0,0,34,0,0,0,1,1
2111669,1,0,1,0,0,0,0,0,0,37,0,0,1,0,1
494675,1,0,0,0,0,0,0,0,0,22,0,0,0,1,0
1273343,1,1,1,0,0,0,0,0,0,27,0,0,0,1,0
1485945,1,0,0,0,0,0,0,0,0,51,0,1,0,0,1
1487731,1,0,1,0,0,0,0,0,0,36,0,0,0,1,1
819987,1,0,1,0,1,0,0,0,0,32,0,0,0,1,1
1956966,1,0,0,0,0,0,0,0,0,22,0,0,0,1,1
423337,1,0,0,0,0,0,0,0,0,24,0,1,0,0,1
434402,1,0,0,0,0,0,0,0,0,79,0,0,0,1,1
251593,1,0,1,0,0,0,0,0,0,31,0,0,0,1,1
2371896,1,0,0,0,1,0,0,0,0,59,0,0,1,0,0
2066535,1,1,0,0,0,0,0,0,0,30,0,0,0,1,1
13744,1,0,1,0,1,0,0,0,0,25,0,0,0,1,0
1133046,1,0,0,0,0,0,0,0,0,66,0,0,0,1,1
2212007,1,0,0,0,0,0,0,0,0,23,0,0,0,1,1
1547046,1,1,1,0,0,0,0,0,0,27,0,0,0,1,0
1571468,1,0,1,0,0,0,0,0,0,25,0,0,0,1,0
827042,1,0,0,0,0,0,0,0,0,77,0,0,0,1,1
1165376,1,0,0,0,0,0,0,0,0,54,0,0,0,1,1
882774,1,0,1,0,0,0,0,0,0,28,0,0,0,1,1
1967727,1,1,0,0,0,0,0,0,0,46,0,0,0,1,1
1501766,1,0,0,0,0,0,0,0,0,25,1,0,0,0,0
2099834,1,0,0,0,0,0,0,0,0,57,0,0,0,1,1
2256935,1,1,1,0,0,0,0,0,0,76,0,0,0,1,1
355134,1,0,0,0,0,0,0,0,0,22,0,0,0,1,0
1689584,1,0,0,0,0,0,0,0,0,26,0,0,0,1,0
173851,1,0,0,0,0,0,0,0,0,38,0,0,1,0,0
168622,1,1,0,0,0,0,0,0,0,27,0,0,0,1,1
2300831,1,1,1,0,1,0,0,0,0,28,0,0,0,1,1
2067611,1,0,1,0,0,0,0,0,1,25,0,0,0,1,1
1440686,1,0,0,0,0,0,0,0,0,21,0,0,0,1,0
629915,1,0,0,0,0,0,0,0,0,33,0,0,0,1,1
707549,1,0,1,0,1,0,0,0,1,28,0,0,0,1,0
1522359,1,0,0,0,0,0,0,0,0,24,0,0,0,1,1
152800,1,0,1,0,0,0,0,0,0,26,0,0,0,1,1
982901,1,1,1,0,1,0,0,0,0,66,0,0,0,1,1
2138321,1,0,0,0,0,0,0,0,0,58,1,0,0,0,0
1912640,1,0,0,0,0,0,0,0,0,25,0,0,0,1,1
670842,1,1,1,0,1,0,0,0,0,31,0,0,0,1,1
1787679,1,0,0,0,0,0,0,0,0,32,0,0,0,1,1
426482,1,0,1,0,0,0,0,0,0,24,0,0,0,1,0
2332488,1,0,0,0,0,0,0,0,0,23,0,0,0,1,0
1178385,1,0,0,0,0,0,0,0,1,26,0,0,0,1,1
2409943,1,0,1,0,0,0,0,0,0,31,0,0,1,0,0
1836092,1,0,0,0,0,0,0,0,0,26,0,0,0,1,0
301379,1,0,0,0,0,0,0,0,0,42,0,0,0,1,1
1563262,1,1,0,0,0,0,0,0,0,29,0,0,1,0,1
1015395,1,0,0,0,0,0,0,0,0,23,0,0,0,1,0
1515081,1,0,0,0,0,0,0,0,0,29,0,0,0,1,0
1193467,1,1,0,0,0,0,0,0,0,62,0,0,0,1,1
117805,1,0,0,0,0,0,0,0,0,41,0,1,0,0,0
2155084,1,0,1,0,0,0,0,0,0,26,0,0,0,1,0
2012425,1,0,1,0,0,0,0,0,0,24,0,0,0,1,1
1949099,1,0,0,0,0,0,0,0,0,23,0,0,0,1,1
1137055,0,0,1,0,0,0,0,0,0,27,0,0,0,1,0
2398928,0,0,1,0,0,0,0,0,0,43,0,1,0,0,0
1699805,1,0,0,0,0,0,0,0,0,25,0,0,0,1,1
